comprimé;0;MEDROL 100 mg, comprimé
collyre;0;NAAXIA, collyre
comprimé pelliculé;1;ROSUVASTATINE;ROSUVASTATINE KRKA 5 mg, comprimé pelliculé
comprimé pelliculé sécable;1;ESCITALOPRAM;ESCITALOPRAM BROWN & BURK 20 mg, comprimé pelliculé sécable
comprimé orodispersible;1;DONÉPÉZIL BASE;DONEPEZIL ARROW GENERIQUES 5 mg, comprimé orodispersible
comprimé pelliculé;1;ROPINIROLE;ROPINIROLE TEVA 1 mg, comprimé pelliculé
comprimé sécable;1;PÉRINDOPRIL;PERINDOPRIL EG 4 mg, comprimé sécable
comprimé;0;CANDESARTAN/HYDROCHLOROTHIAZIDE MYLAN PHARMA 8 mg/12,5 mg, comprimé
comprimé sécable;0;PREDNISONE ARROW 20 mg, comprimé sécable
poudre pour suspension buvable;0;FLUCONAZOLE SANDOZ 10 mg/ml, poudre pour suspension buvable
comprimé sécable;1;LISINOPRIL ANHYDRE;LISINOPRIL/HYDROCHLOROTHIAZIDE ARROW LAB 20 mg/12,5 mg, comprimé sécable
comprimé sécable;0;AMISULPRIDE CRISTERS 100 mg, comprimé sécable
comprimé sécable;0;CLOZAPINE MYLAN 25 mg, comprimé sécable
pommade;0;FRAKIDEX, pommade ophtalmique
comprimé;0;DOSTINEX 0,5 mg, comprimé
comprimé sécable;0;CANDESARTAN MYLAN 4 mg, comprimé sécable
poudre pour solution pour perfusion;0;TOMUDEX 2 mg, poudre pour solution pour perfusion
capsule molle;0;PRUNIER D'AFRIQUE ARROW 50 mg, capsule molle
comprimé pelliculé;0;GUETHURAL 300 mg, comprimé pelliculé
comprimé pelliculé;1;ATORVASTATINE;ATORVASTATINE BLUEFISH 10 mg, comprimé pelliculé
comprimé pelliculé sécable;0;CARVEDILOL ZENTIVA 12,5 mg, comprimé pelliculé sécable
comprimé gastro-résistant(e);1;ÉSOMÉPRAZOLE;ESOMEPRAZOLE EG LABO 20 mg, comprimé gastro-résistant
solution pour application;1;DIGLUCONATE DE CHLORHEXIDINE;GLUCONATE DE CHLORHEXIDINE ALCOOLIQUE GIFRER A 0,5 POUR CENT AVEC COLORANT, solution pour application cutanée
comprimé pelliculé;1;IVABRADINE;IVABRADINE MYLAN 5 mg, comprimé pelliculé
poudre et  solvant pour solution injectable;1;CEFTRIAXONE BASE;TRIACEFAN 1 g/3,5 ml, poudre et solvant pour solution injectable (IM)
comprimé pelliculé;0;LINEZOLIDE EG 600 mg, comprimé pelliculé
gélule;0;FENOFIBRATE BIOGARAN 67 mg, gélule
collyre;1;BÉTAXOLOL BASE;BETOPTIC 0,5 POUR CENT, collyre
comprimé;2;AMLODIPINE;PÉRINDOPRIL;PERINDOPRIL/AMLODIPINE HCS 4 mg/5 mg, comprimé
pommade;0;MUPIROCINE SANDOZ 2 %, pommade
comprimé gastro-résistant(e);1;RABÉPRAZOLE BASE;RABEPRAZOLE MYLAN GENERIQUES 20 mg, comprimé gastro-résistant
solution pour application;0;BIORGASEPT 0,5 %, solution pour application cutanée
gélule;0;FENOFIBRATE SANDOZ 100 mg, gélule
comprimé;0;CANDESARTAN/HYDROCHLOROTHIAZIDE ZYDUS 8 mg/12,5 mg, comprimé
comprimé pelliculé sécable;0;SPIRONOLACTONE RATIOPHARM 75 mg, comprimé pelliculé sécable
 comprimé et solution(s) et granules et poudre et pommade;0;PHOSPHORICUM ACIDUM LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
gélule;1;AMLODIPINE;AMLODIPINE ARROW GENERIQUES 10 mg, gélule
collyre en solution;0;BIMATOPROST MYLAN PHARMA 0,3 mg/ml, collyre en solution
comprimé effervescent(e);0;ASPIRINE UPSA VITAMINEE C TAMPONNEE EFFERVESCENTE, comprimé effervescent
comprimé pelliculé;1;ONDANSÉTRON;ONDANSETRON EG 8 mg, comprimé pelliculé
poudre pour solution buvable;1;METFORMINE BASE;GLUCOPHAGE 1000 mg, poudre pour solution buvable en sachet-dose
comprimé pelliculé;0;ZOLMITRIPTAN EVOLUGEN 2,5 mg, comprimé pelliculé
poudre et  solvant pour solution injectable;0;CONFIDEX 1000 UI, poudre et solvant pour solution injectable
capsule molle;0;CURACNE 40 mg, capsule molle
suspension injectable;0;CELVAPAN, suspension injectable. Vaccin grippal pandémique (H1N1) (virion entier, cultivé sur cellule Vero, inactivé)
granules et  poudre et  solution en gouttes en gouttes;0;BISMUTHUM WELEDA, degré de dilution compris entre 4CH et 30CH ou entre 8DH et 60DH
comprimé pelliculé sécable;0;VALSARTAN ISOMED 40 mg, comprimé pelliculé sécable
comprimé sécable;0;NICORANDIL ALMUS 10 mg, comprimé sécable
comprimé;2;ACIDE ALENDRONIQUE;CHOLÉCALCIFÉROL;ACIDE ALENDRONIQUE/CHOLECALCIFEROL (VITAMINE D3) ZENTIVA 70 mg/5 600 UI, comprimé
comprimé sécable;0;VALIUM ROCHE 5 mg, comprimé sécable
comprimé;0;GLIMEPIRIDE ACTAVIS 4 mg, comprimé
comprimé pelliculé sécable;1;METFORMINE BASE;METFORMINE MYLAN PHARMA 1000 mg, comprimé pelliculé sécable
collyre en solution;0;VITAMINE B12 HORUS 0,2 mg/0,4 ml, collyre en solution en récipient unidose
solution pour perfusion;1;GLUCOSE ANHYDRE;GLUCOSE 50 % AGUETTANT, solution pour perfusion
comprimé pelliculé;0;NAPROXENE SODIQUE TEVA 550 mg, comprimé pelliculé
comprimé;1;FENTANYL;RECIVIT 67 microgrammes, comprimé sublingual
poudre pour usage parentéral;1;ACIDE FOLINIQUE;FOLINATE DE CALCIUM ZENTIVA 50 mg, lyophilisat pour usage parentéral
suspension colloidale injectable;0;SULFURE DE RHENIUM [186 Re], CIS bio international, suspension colloïdale injectable pour voie intra-articulaire [Référence : RE-186-MM-1]
solution injectable;1;IODE;OPTIRAY 300 (300 mg l/mL), solution injectable en flacon
gélule;1;ACIDE FOLINIQUE;FOLINORAL 25 mg, gélule
comprimé;0;EZETROL 10 mg, comprimé
solution injectable;1;IODE;OPTIRAY 350 (350 mg I/mL), solution injectable en flacon
comprimé;1;BUPRÉNORPHINE;BUPRENORPHINE MYLAN 0,4 mg, comprimé sublingual
comprimé pelliculé;1;NARATRIPTAN;NARAMIG 2,5 mg, comprimé pelliculé
comprimé pelliculé;1;ACÉBUTOLOL BASE;ACEBUTOLOL RANBAXY 400 mg, comprimé pelliculé
comprimé pelliculé sécable;0;ZOPICLONE SANDOZ 7,5 mg, comprimé pelliculé sécable
comprimé sécable;1;TERBINAFINE;TERBINAFINE BIOGARAN 250 mg, comprimé sécable
crème;0;CICLOPIROX OLAMINE TEVA 1 %, crème
poudre et  solvant pour solution injectable;0;GENOTONORM MINIQUICK 1,8 mg, poudre et solvant pour solution injectable
comprimé pelliculé;0;FINASTERIDE PHR LAB 5 mg, comprimé pelliculé
granules et  solution en gouttes en gouttes;0;IGNATIA AMARA WELEDA, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
granulés pour suspension buvable;1;CEFPODOXIME;ORELOX ENFANTS ET NOURRISSONS 40 mg/5 ml, granulés pour suspension buvable
poudre et  solvant pour solution injectable;0;GLUCAGEN KIT 1 mg/ml, poudre et solvant pour solution injectable
comprimé enrobé;0;HEPADIAL 50 mg, comprimé enrobé
comprimé pelliculé sécable;1;CIPROFLOXACINE;UNIFLOX, comprimé pelliculé sécable
 comprimé et solution(s) et granules et poudre et pommade;0;BISMUTHUM BOIRON, degré de dilution compris entre 4CH et 30CH ou entre 8DH et 60DH
comprimé à croquer;1;MONTÉLUKAST;MONTELUKAST ARROW 5 mg, comprimé à croquer
comprimé;0;BETAHISTINE MYLAN PHARMA 8 mg, comprimé
granules et  solution en gouttes en gouttes;0;ESCHSCHOLTZIA CALIFORNICA WELEDA, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
comprimé à croquer ou à sucer;2;CALCIUM ÉLÉMENT;CHOLÉCALCIFÉROL;FIXICAL VITAMINE D3 500 mg/400 UI, comprimé à croquer ou à sucer
gélule;0;NIFUROXAZIDE SANDOZ CONSEIL 200 mg, gélule
solution et  solution buvable;1;ASCORBIQUE (ACIDE);REVITALOSE SANS SUCRE, solution buvable édulcorée au sorbitol
solution injectable;0;NEUPOGEN 30 MU/0,5 ml (0,6 mg/ml), solution injectable en seringue préremplie
comprimé sécable;0;GLIBENCLAMIDE SANDOZ 5 mg, comprimé sécable
comprimé enrobé sécable;1;QUINAPRIL BASE;ACUITEL 5 mg, comprimé enrobé sécable
comprimé sécable;0;CANDESARTAN TEVA SANTE 4 mg, comprimé sécable
comprimé;0;ALLOPURINOL ZYDUS 200 mg, comprimé
poudre pour solution injectable;1;CEFTAZIDIME ANHYDRE;CEFTAZIDIME ARROW 1 g, poudre pour solution injectable (IM,IV)
comprimé sécable;0;ALPRAZOLAM ZENTIVA 0,50 mg, comprimé sécable
comprimé à croquer ou à sucer;2;CALCIUM ÉLÉMENT;CHOLÉCALCIFÉROL;CALCIUM/VITAMINE D3 ZYDUS 500 mg/400 U.I., comprimé à croquer ou à sucer
comprimé sécable;1;DOXYCYCLINE BASE;DOXYCYCLINE MYLAN 100 mg, comprimé sécable
collyre en solution;0;NEOSYNEPHRINE 10 POUR CENT FAURE, collyre en récipient unidose
dispositif;1;BÊTA-ESTRADIOL;VIVELLEDOT 50 microgrammes/24 heures, dispositif transdermique
comprimé pelliculé;1;ACÉBUTOLOL BASE;ACEBUTOLOL EG 400 mg, comprimé pelliculé
gélule;0;TRAMADOL ACTAVIS 50 mg, gélule
capsule molle;1;LÉVOTHYROXINE SODIQUE ANHYDRE;TCAPS 75 microgrammes, capsule molle
poudre et  poudre pour solution buvable;0;HELIKIT 75 mg, poudre pour solution buvable
comprimé pelliculé;1;RALOXIFÈNE;RALOXIFENE CRISTERS 60 mg, comprimé pelliculé
gélule;0;PHYSIOMYCINE, gélule
gélule à libération prolongée;0;PARKINANE LP 2 mg, gélule à libération prolongée
comprimé effervescent(e);0;ZUMALGIC 50 mg, comprimé effervescent
poudre pour solution injectable;0;ELDISINE 5 mg, poudre pour solution injectable
solution à diluer pour perfusion;0;CHLORURE DE POTASSIUM LAVOISIER 7,46 % (0,0746 g/ml) , solution à diluer pour perfusion
solution pour perfusion;0;EPIRUBICINE HOSPIRA 2 mg/ml, solution pour perfusion
solution injectable;0;FLUANXOL L P 20 mg/ml, solution injectable (IM)
comprimé;0;REPAGLINIDE ARROW LAB 2 mg, comprimé
solution injectable;0;FLUORESCEINE SODIQUE FAURE 10 POUR CENT, solution injectable
gélule;0;DOLIPRANECAPS 1000 mg, gélule
solution pour application;0;ECONAZOLE TEVA SANTE 1 POUR CENT, solution pour application cutanée
poudre pour application;0;MYCOAPAISYL 1 POUR CENT, poudre pour application cutanée
solution pour perfusion;1;GLUCOSE ANHYDRE;GLUCOSE 5 % MACOPHARMA, solution pour perfusion
suppositoire;0;FIVASA 500 mg, suppositoire
comprimé;1;RUPATADINE;RUPATADINE EG 10 mg, comprimé
suspension buvable;1;PHÉNOXYMÉTHYLPÉNICILLINE;ORACILLINE 250 000 UI/5 ml, suspension buvable
dispositif;0;FENTANYL MYLAN 100 microgrammes/heure, dispositif transdermique
poudre pour solution à diluer pour perfusion;0;ADCETRIS 50 mg, poudre pour solution à diluer pour perfusion
comprimé orodispersible;0;LANSOPRAZOLE EG 30 mg, comprimé orodispersible
comprimé gastro-résistant(e);1;RABÉPRAZOLE BASE;RABEPRAZOLE ZYDUS 20 mg, comprimé gastro-résistant
gélule à libération prolongée;0;DILTIAZEM SANDOZ LP 120 mg, gélule à libération prolongée
solution pour application;0;EOSINE COOPER 2 POUR CENT, solution pour application cutanée en récipient unidose
comprimé à sucer;0;LYSOPAÏNE MAUX DE GORGE CETYLPYRIDINIUM LYSOZYME SANS SUCRE, comprimé à sucer édulcoré au sorbitol et à la saccharine
comprimé pelliculé;1;BOSENTAN;BOSENTAN BIOGARAN 125 mg, comprimé pelliculé
comprimé pelliculé;0;BISOPROLOL/HYDROCHLOROTHIAZIDE ARROW 2,5 mg/6,25 mg, comprimé pelliculé
comprimé orodispersible;0;ABILIFY 15 mg, comprimé orodispersible
comprimé pelliculé;1;ACÉBUTOLOL BASE;ACEBUTOLOL ARROW 200 mg, comprimé pelliculé
comprimé pelliculé à libération prolongée;1;FLUVASTATINE;FLUVASTATINE MYLAN LP 80 mg, comprimé pelliculé à libération prolongée
pastille;1;NICOTINE;NICOPASS 1,5 mg SANS SUCRE MENTHE FRAICHEUR, pastille édulcorée à l'aspartam et à l'acésulfame potassique
solution injectable;0;ROACTEMRA 162 mg, solution injectable en seringue préremplie
comprimé orodispersible;0;DONEPEZIL ACTAVIS 5 mg, comprimé orodispersible
comprimé;0;PARACETAMOL SANDOZ CONSEIL 500 mg, comprimé
poudre et  poudre;0;HEPARGITOL, poudre orale en sachet bipoche
comprimé dispersible sécable;0;BETAMETHASONE EG 2 mg, comprimé dispersible sécable
poudre;0;MUCIVITAL, poudre orale en sachet
 comprimé et solution(s) et granules et poudre et pommade;0;HARPAGOPHYTUM LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
comprimé pelliculé;0;VENCLYXTO 50 mg, comprimé pelliculé
poudre pour solution injectable;2;CLAVULANIQUE (ACIDE);AMOXICILLINE ANHYDRE;AMOXICILLINE/ACIDE CLAVULANIQUE PANPHARMA 1 g/100 mg, enfants, poudre pour solution injectable (I.V.)
comprimé;0;BISOPROLOL RANBAXY 1,25 mg, comprimé
comprimé sécable;0;MELOXICAM BIOGARAN 15 mg, comprimé sécable
solution à diluer injectable ou pour perfusion;1;GRANISÉTRON BASE;GRANISETRON TEVA 3 mg/3 ml, solution à diluer injectable ou pour perfusion
 comprimé et solution(s) et granules et poudre et pommade;0;DOLICHOS PRURIENS BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
comprimé pelliculé;1;ROPINIROLE;ROPINIROLE ARROW 2 mg, comprimé pelliculé
comprimé;0;TRIMEBUTINE MYLAN 100 mg, comprimé
poudre pour solution à diluer pour perfusion;0;MYOZYME 50 mg, poudre pour solution à diluer pour perfusion
comprimé pelliculé à libération prolongée;1;FLUVASTATINE;FLUVASTATINE SANDOZ LP 80 mg, comprimé pelliculé à libération prolongée
comprimé;0;TELMISARTAN ZENTIVA 80 mg, comprimé
comprimé pelliculé;0;OLANZAPINE EVOLUGEN 7,5 mg, comprimé pelliculé
solution buvable;0;CHOLECALCIFEROL BIOGARAN 100 000 UI, solution buvable en ampoule
comprimé pelliculé sécable;0;COMBIVIR 150 mg/300 mg, comprimé pelliculé
 comprimé et solution(s) et granules et poudre et pommade;0;HYDRASTIS CANADENSIS BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
comprimé dispersible;0;LAMOTRIGINE RANBAXY 50 mg, comprimé dispersible
gélule à libération prolongée;0;TAMSULOSINE RATIOPHARM LP 0,4 mg, gélule à libération prolongée
gélule;0;FLUCONAZOLE EVOLUGEN 100 mg, gélule
solution pour hémofiltration;1;GLUCOSE ANHYDRE;BICAFLAC ELECTROLYTES SOLUTION SANS POTASSIUM, solution pour hémofiltration
comprimé;0;ALLOPURINOL ZYDUS 300 mg, comprimé
pastille à sucer;0;BLACKOIDS DU DOCTEUR MEUR, pastille à sucer
comprimé pelliculé;1;ATORVASTATINE;ATORVASTATINE EVOLUGEN 80 mg, comprimé pelliculé
gel;1;DICLOFÉNAC SODIQUE;DICLOFENAC BIOGARAN 1 %, gel
comprimé sécable;0;RAMIPRIL ISOMED 2,5 mg, comprimé sécable
comprimé sécable;0;AMIODARONE ALTER 200 mg, comprimé sécable
poudre et  solvant pour solution injectable;1;CÉFALOTINE;CEFALOTINE PANPHARMA 1 g, poudre et solvant pour solution injectable
solution buvable;0;CARBOCISTEINE MYLAN 2 % ENFANTS SANS SUCRE, solution buvable édulcorée au maltitol liquide et au sorbitol
gélule;0;ELUSANES BUSSEROLE, gélule
comprimé pelliculé sécable;0;LAMIVUDINE/ZIDOVUDINE ARROW 150 mg/300 mg, comprimé pelliculé sécable
gélule gastro-résistant(e);0;LANSOPRAZOLE KRKA 30 mg, gélule gastrorésistante
comprimé à libération prolongée;0;MONOALGIC L.P. 200 mg, comprimé à libération prolongée (UNE PRISE QUOTIDIENNE)
comprimé sécable;1;LISINOPRIL ANHYDRE;LISINOPRIL/HYDROCHLOROTHIAZIDE RATIOPHARM 20 mg/12,5 mg, comprimé sécable
solution pour application;0;CHLORHEXIDINE ALCOOLIQUE GILBERT HEALTHCARE 0,5 %, solution pour application cutanée
comprimé pelliculé;0;GABAPENTINE ARROW GENERIQUES 600 mg, comprimé pelliculé sécable
comprimé sécable;0;RAMIPRIL ZYDUS FRANCE 2,5 mg, comprimé sécable
dispositif;0;TRINIPATCH 15 mg/24 heures, dispositif transdermique
solution pour perfusion;0;LUTATHERA 370 MBq/ml, solution pour perfusion
comprimé pelliculé sécable;0;LEVETIRACETAM CRISTERS 1000 mg, comprimé pelliculé sécable
poudre et  solvant pour solution injectable;0;KOVALTRY 1000 UI, poudre et solvant pour solution injectable
solution pour bain de bouche;0;HEXETIDINE EG LABO CONSEIL 0,1 %, solution pour bain de bouche
pâte dentifrice;0;ELGYDIUM, pâte dentifrice
collyre en solution;1;LÉVOCABASTINE;LEVOFREE 0,05 %, collyre en solution en récipient unidose
solution injectable;0;TRULICITY 1,5 mg, solution injectable en stylo prérempli
comprimé sécable;0;NICORANDIL MYLAN PHARMA 10 mg, comprimé sécable
suspension buvable;0;GAVISCON, suspension buvable en sachet
comprimé pelliculé;1;ROSUVASTATINE;ROSUVASTATINE EVOLUGEN 20 mg, comprimé pelliculé
comprimé pelliculé;1;ZOFÉNOPRIL;ZOFENIL 30 mg, comprimé pelliculé
comprimé enrobé;1;DISOPYRAMIDE;RYTHMODAN 250 mg A LIBERATION PROLONGEE, comprimé enrobé
comprimé;0;ARIPIPRAZOLE TEVA 15 mg, comprimé
lotion pour application;0;VERRUPAN, lotion pour application locale
comprimé pelliculé sécable;0;ZOLPIDEM MYLAN 10 mg, comprimé pelliculé sécable
comprimé pelliculé;1;ROPINIROLE;ROPINIROLE EG 2 mg, comprimé pelliculé
 comprimé et solution(s) et granules et poudre et pommade;0;SULFUR IODATUM LEHNING, degré de dilution compris entre 3CH et 30CH ou entre 6DH et 60DH
comprimé;0;NEVIRAPINE ARROW LAB 200 mg, comprimé
dispositif;1;BÊTA-ESTRADIOL;VIVELLEDOT 25 microgrammes/24 heures, dispositif transdermique
comprimé à croquer;1;MONTÉLUKAST;SINGULAIR 4 mg, comprimé à croquer
solution injectable;1;KÉTAMINE BASE;KETAMINE PANPHARMA 50 mg/5 ml, solution injectable (I.V.-I.M.)
 comprimé et solution(s) et granules et poudre et pommade;0;THUYA OCCIDENTALIS LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
gélule à libération prolongée;1;VENLAFAXINE;VENLAFAXINE ZYDUS FRANCE LP 75 mg, gélule à libération prolongée
comprimé sécable;0;SULPIRIDE MYLAN 200 mg, comprimé sécable
solution injectable;1;VINORELBINE;NAVELBINE 10 mg/1 ml, solution injectable en flacon
comprimé sécable;1;CODÉINE;DOLIPRANE CODEINE 400 mg/20 mg, comprimé sécable
poudre pour solution injectable;1;CÉFAZOLINE BASE;CEFAZOLINE MYLAN 1 g, poudre pour solution injectable (IM-IV)
poudre pour solution pour perfusion;1;DEXRAZOXANE;CYRDANAX 20 mg/ml, poudre pour solution pour perfusion
solution injectable;0;ANAFRANIL 25 mg/2 ml, solution injectable
comprimé pelliculé;1;LOSARTAN;LOSARTAN HYDROCHLOROTHIAZIDE BGR 100 mg/25 mg, comprimé pelliculé
comprimé enrobé;1;PROMÉTHAZINE;PHENERGAN 25 mg, comprimé enrobé
suspension injectable;0;ENCEPUR 1,5 microgrammes/0,5 ml, suspension injectable en seringue préremplie. Vaccin de l'encéphalite à tiques (inactivé, adsorbé)
comprimé sécable;0;CAPTOPRIL ARROW 50 mg, comprimé sécable
comprimé enrobé gastro-résistant(e);0;VOLTARENE 50 mg, comprimé enrobé gastro-résistant
gélule;1;TOPOTÉCANE;HYCAMTIN 0,25 mg, gélule
comprimé pelliculé;0;LEVOCETIRIZINE KRKA 5 mg, comprimé pelliculé
solution à diluer pour perfusion;0;PROGRAF 5 mg/1 ml, solution à diluer pour perfusion
solution injectable;0;AETOXISCLEROL TAMPONNE 2 POUR CENT (40 mg/2 ml), solution injectable (IV) en ampoule
solution injectable ou pour perfusion;0;MIACALCIC 50 U.I./1 ml, solution injectable ou pour perfusion
poudre pour suspension buvable;2;CLAVULANIQUE (ACIDE);AMOXICILLINE ANHYDRE;AMOXICILLINE/ACIDE CLAVULANIQUE ZENTIVA K.S 100 mg/12,5 mg par ml ENFANTS, poudre pour suspension buvable en flacon (rapport amoxicilline/acide clavulanique: 8/1)
comprimé pelliculé;1;TÉNOFOVIR DISOPROXIL;EFAVIRENZ/EMTRICITABINE/TENOFOVIR DISOPROXIL KRKA 600 mg/200 mg/245 mg, comprimé pelliculé
comprimé;0;PRAZEPAM EG 10 mg, comprimé
comprimé pelliculé sécable;0;DONORMYL 15 mg, comprimé pelliculé sécable
solution;0;DENTOBAUME, solution gingivale
solution à diluer pour perfusion;0;TECENTRIQ 1200 mg, solution à diluer pour perfusion
comprimé sécable;0;RAMIPRIL SANDOZ 5 mg, comprimé sécable
comprimé pelliculé;0;LOSARTAN/HYDROCHLOROTHIAZIDE ZYDUS 50 mg/12,5 mg, comprimé pelliculé
poudre et  solution pour préparation injectable;1;AMPICILLINE ANHYDRE;AMPICILLINE PANPHARMA 500 mg, poudre et solution pour préparation injectable
comprimé enrobé;0;GESTODENE/ETHINYLESTRADIOL BIOGARAN 75 microgrammes/30 microgrammes, comprimé enrobé
gel;0;FUCITHALMIC 1 POUR CENT, gel ophtalmique
gélule;0;PROGRAF 5 mg, gélule
comprimé pelliculé;1;ATORVASTATINE;ATORVASTATINE PHR LAB 20 mg, comprimé pelliculé
comprimé pelliculé;1;METFORMINE BASE;METFORMINE RATIOPHARM 850 mg, comprimé pelliculé
poudre pour solution pour perfusion;1;GEMCITABINE;GEMCITABINE HOSPIRA 1 g, poudre pour solution pour perfusion
comprimé;0;ACETYLLEUCINE TEVA 500 mg, comprimé
sirop;0;MEDIBRONC ENFANTS, sirop en flacon
comprimé pelliculé;1;ATORVASTATINE;ATORVASTATINE ACCORD 80 mg, comprimé pelliculé
solution pour application;0;POVIDONE IODEE TEVA 10 %, solution pour application cutanée
poudre pour solution injectable;0;IMUREL 50 mg, poudre pour solution injectable (IV)
solution pour perfusion;0;IONOVEN, solution pour perfusion
comprimé sécable;0;BISOPROLOL TEVA SANTE 10 mg, comprimé sécable
solution injectable;1;ACIDE L FOLINIQUE;LEVOFOLINATE DE CALCIUM ZENTIVA 10 mg/ml, solution injectable (IM/IV)
comprimé enrobé;0;PABASUN 500 mg, comprimé enrobé
comprimé pelliculé;0;LOSARTAN/HYDROCHLOROTHIAZIDE ACTAVIS 100 mg/25 mg, comprimé pelliculé
comprimé pelliculé;0;BICIRKAN, comprimé pelliculé
émulsion pour perfusion;3;GLUCOSE ANHYDRE;HISTIDINE;LYSINE;MEDNUTRIFLEX OMEGA G 120/N 5,4/E, émulsion pour perfusion
comprimé pelliculé;0;IBUPROFENE ZENTIVA CONSEIL 200 mg, comprimé pelliculé
solution injectable;1;CHLORHYDRATE DE LIDOCAÏNE ANHYDRE;XYLOCAINE 20 mg/ml SANS CONSERVATEUR, solution injectable
comprimé enrobé;0;GESTODENE/ETHINYLESTRADIOL MYLAN 75 microgrammes/20 microgrammes, comprimé enrobé
poudre pour suspension buvable;2;CLAVULANIQUE (ACIDE);AMOXICILLINE ANHYDRE;AMOXICILLINE/ACIDE CLAVULANIQUE EG 1 g/125 mg ADULTES, poudre pour suspension buvable en sachet-dose (rapport amoxicilline/acide clavulanique : 8/1)
comprimé;1;BUPRÉNORPHINE;BUPRENORPHINE MYLAN 4 mg, comprimé sublingual
comprimé pelliculé;0;TADALAFIL BIOGARAN 5 mg, comprimé pelliculé
comprimé pelliculé;1;RISÉDRONATE MONOSODIQUE ANHYDRE;RISEDRONATE ALTER 35 mg, comprimé pelliculé
comprimé à libération prolongée;0;MONOALGIC L.P. 100 mg, comprimé à libération prolongée (UNE PRISE QUOTIDIENNE)
gélule;0;DIFFU K, gélule
poudre pour suspension buvable;0;SUCCINIMIDE PHARBIOL 3 g, poudre pour suspension buvable en sachet-dose
comprimé pelliculé;0;ADEMPAS 2,5 mg, comprimé pelliculé
comprimé pelliculé à libération prolongée;1;OXYCODONE;OXYCODONE EG LP 30 mg, comprimé pelliculé à libération prolongée
comprimé;1;RILMÉNIDINE;RILMENIDINE ARROW 1 mg, comprimé
gel pour application;0;CUTERPES 1 POUR CENT, gel pour application locale
comprimé;0;ABILIFY 15 mg, comprimé
comprimé enrobé;0;TOFRANIL 25 mg, comprimé enrobé
gélule à libération prolongée;0;DILTIAZEM ZENTIVA L.P. 300 mg, gélule à libération prolongée
solution buvable en gouttes;0;HYDROSOL POLYVITAMINE PHARMADEVELOPPEMENT, solution buvable en gouttes
comprimé pelliculé sécable;0;ZOLPIDEM ARROW 10 mg, comprimé pelliculé sécable
poudre pour inhalation;0;PULMICORT TURBUHALER 200 microgrammes/dose, poudre pour inhalation
gélule;1;RIVASTIGMINE;RIVASTIGMINE MYLAN 1,5 mg, gélule
solution à diluer pour perfusion;0;OXALIPLATINE TEVA 5 mg/ml, solution à diluer pour perfusion
solution buvable en gouttes;0;KANEURON 5,4 POUR CENT, solution buvable en gouttes
 comprimé et solution(s) et granules et poudre et pommade;0;ALLIUM CEPA BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
comprimé sécable;0;ALDACTONE 25 mg, comprimé sécable
comprimé;0;DOLIPRANE 500 mg, comprimé
solution pour application;0;GOMENOLEO 2 POUR CENT, solution pour application locale en ampoule
comprimé pelliculé;0;ARCOXIA 30 mg, comprimé pelliculé
solution injectable;0;UROMITEXAN 5 g/50 mL, solution à diluer pour perfusion
comprimé dispersible;0;LAMOTRIGINE SANDOZ 100 mg, comprimé dispersible
comprimé muco-adhésif;0;LORAMYC 50 mg, comprimé buccogingival muco-adhésif
solution pour instillation;0;HUILE GOMENOLEE 5 POUR CENT, solution pour instillation nasale
comprimé;0;REPAGLINIDE KRKA 1 mg, comprimé
gélule;1;CLOXACILLINE;ORBENINE 500 mg, gélule
comprimé pelliculé;1;ATORVASTATINE;ATORVASTATINE KRKA 80 mg, comprimé pelliculé
comprimé orodispersible;0;VIABORPAX, comprimé orodispersible
solution buvable;0;SURBRONC EXPECTORANT AMBROXOL SANS SUCRE, solution buvable édulcorée à l'acésulfame potassique et au sorbitol
solution injectable;1;IODE;IOMERON 250 (250 mg d'Iode/mL), solution injectable
comprimé pelliculé;0;IRBESARTAN/HYDROCHLOROTHIAZIDE ZYDUS 300 mg/12,5 mg, comprimé pelliculé
comprimé sécable;0;TIMACOR 10 mg, comprimé sécable
solution buvable;1;LACTULOSE;LACTULOSE BIPHAR 10 g/15 ml, solution buvable en sachet-dose
 comprimé et solution(s) et granules et poudre et pommade;0;CRATAEGUS OXYACANTHA LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
comprimé;0;RAMIPRIL ARROW GENERIQUES 1,25 mg, comprimé
solution injectable;0;IASOFLU 2,0 GBq/ml, solution injectable
poudre pour solution pour perfusion;2;CILASTATINE ANHYDRE;IMIPÉNEM ANHYDRE;IMIPENEM CILASTATINE RANBAXY 500 mg/500 mg, poudre pour solution pour perfusion
comprimé à croquer;0;GAVISCON MENTHE, comprimé à croquer
comprimé;0;REPAGLINIDE MYLAN PHARMA 0,5 mg, comprimé
