1;PÉRINDOPRIL|1,669  mg;PERINDOPRIL KRKA 2 mg, comprimé
0;PASSEDYL ENFANTS ET NOURRISSONS, sirop
0;MICROPAKINE L.P. 250 mg, granulés à libération prolongée en sachet-dose
0;PACILIA, comprimé enrobé
2;GLUCOSE ANHYDRE|500 g;LACTATE DE SODIUM ANHYDRE|4,72 g;SELUTRIO 40, solution pour dialyse péritonéale
0;ETHINYLESTRADIOL/DROSPIRENONE CRISTERS CONTINU 0,02 mg/3 mg, comprimé pelliculé
0;LODALES 40 mg, comprimé pelliculé
1;FOSFOMYCINE|3 g;FOSFOPHARM ADULTES 3 g, granulés pour solution buvable en sachet
1;ASÉNAPINE|5 mg;SYCREST 5 mg, comprimé sublingual
0;MANNITOL LAVOISIER 20 POUR CENT, solution pour perfusion
1;RILMÉNIDINE|1 mg;RILMENIDINE EG 1 mg, comprimé
1;BENSÉRAZIDE BASE|25 mg;MODOPAR L.P. 125 100 mg/25 mg, gélule à libération prolongée
0;VIMPAT 100 mg, comprimé pelliculé
0;LOSARTAN/HYDROCHLOROTHIAZIDE ZYDUS 100 mg/25 mg, comprimé pelliculé
0;ZINC INJECTABLE A 1 mg/ml, solution injectable pour perfusion
1;AMLODIPINE|5,00 mg;AMLODIPINE RANBAXY 5 mg, gélule
0;KETOCONAZOLE SANDOZ 2 %, gel en sachet-dose
0;CONTRAMAL 100 mg/2 ml, solution injectable
0;CARBAMAZEPINE MYLAN L.P. 400 mg, comprimé sécable à libération prolongée
0;SPAGULAX, poudre effervescente pour suspension buvable en sachet dose
1;DEXKÉTOPROFÈNE|25 mg;KETESSE 25 mg, comprimé pelliculé
0;SYNAGIS 100 mg, poudre et solvant pour solution injectable
0;AGNUS CASTUS BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
0;HUMALOG 100 UI/ml KWIKPEN, solution injectable
1;ROSUVASTATINE|20 mg;ROSUVASTATINE TEVA 20 mg, comprimé pelliculé
0;ADANCOR 10 mg, comprimé sécable
1;LÉVOFLOXACINE|500 mg;LEVOFLOXACINE ARROW LAB 500 mg, comprimé pelliculé sécable
1;TIMOLOL BASE|0,500 g;TIMABAK 0,50 %, collyre en solution
1;LISINOPRIL ANHYDRE|20 mg;LISINOPRIL MYLAN PHARMA 20 mg, comprimé sécable
0;ALLIUM CEPA WELEDA, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
0;BETAHISTINE RATIOPHARM 24 mg, comprimé
0;RISPERIDONE MYLAN 2 mg, comprimé orodispersible
1;ATORVASTATINE|20 mg;ATORVASTATINE ACCORD 20 mg, comprimé pelliculé
0;ETHINYLESTRADIOL/DROSPIRENONE GNR 0,02 mg/3 mg, comprimé pelliculé
0;GABAPENTINE MYLAN 300 mg, gélule
0;TELMISARTAN CRISTERS 40 mg, comprimé
1;CEFTAZIDIME ANHYDRE|500 mg;CEFTAZIDIME GERDA 0,5 g, poudre pour solution injectable (IM, IV)
1;L-ARGININE|0,8266 mg;ARGININE VEYRON, solution buvable en ampoule
0;DESLORATADINE EG 5 mg, comprimé pelliculé
0;VEREGEN 10 %, pommade
1;BUPRÉNORPHINE|8 mg;BUPRENORPHINE BIOGARAN 8 mg, comprimé sublingual
0;OLANZAPINE RATIOPHARM 10 mg, comprimé
1;CÉFUROXIME|750 mg;CEFUROXIME PANPHARMA 750 mg, poudre pour solution injectable (IM-IV)
0;GLUSCAN 500, solution injectable
0;LEVOTHYROX 150 microgrammes, comprimé sécable
0;BUSILVEX 6 mg/ml, solution à diluer pour perfusion
1;NARATRIPTAN|2,5 mg;NARATRIPTAN TEVA 2,5 mg, comprimé pelliculé
0;SIMVASTATINE ALTER 20 mg, comprimé pelliculé sécable
1;AMLODIPINE|10 mg;AMLODIPINE/VALSARTAN TEVA 10 mg/160 mg, comprimé pelliculé
0;LOGIMAX 5 mg/47,5 mg, comprimé pelliculé à libération prolongée
0;CAVERJECT 20 microgrammes/1 ml, lyophilisat et solution pour usage parentéral
1;GLUCOSE ANHYDRE|5 g;GLUCOSE 5 % COOPER, solution pour perfusion
1;LÉVOTHYROXINE SODIQUE ANHYDRE|13 microgrammes;TCAPS 13 microgrammes, capsule molle
0;ENALAPRIL/HYDROCHLOROTHIAZIDE ARROW 20 mg/12,5 mg, comprimé sécable
0;AMYLIUM NITROSUM LEHNING, degré de dilution compris entre 4CH et 30CH ou entre 8DH et 60DH
0;LANSOPRAZOLE MYLAN 30 mg, gélule gastro-résistante
0;FLUCONAZOLE SANDOZ 150 mg, gélule
0;EPLERENONE TEVA 50 mg, comprimé pelliculé
1;CÉFUROXIME|250 mg;CEFUROXIME ZENTIVA 250 mg, comprimé pelliculé
0;ARIPIPRAZOLE MYLAN PHARMA 5 mg, comprimé
0;LOSARTAN/HYDROCHLOROTHIAZIDE ARROW 100 mg/25 mg, comprimé pelliculé sécable
0;GLICLAZIDE ZENTIVA 30 mg, comprimé à libération modifiée
0;NOCTIUM, sirop
1;CEFTRIAXONE BASE|2 g;CEFTRIAXONE KABI 2 g, poudre pour solution pour perfusion
0;ETAIN STANNEUX MEDIAM, poudre pour injection
0;PRAVASTATINE LBR 20 mg, comprimé sécable
0;ZALTRAP 25 mg/ml, solution à diluer pour perfusion
1;AMPICILLINE ANHYDRE|500 mg;AMPICILLINE PANPHARMA 500 mg, poudre et solution pour préparation injectable
0;CISPLATINE ACCORD 1 mg/ml, solution à diluer pour perfusion
0;VASOBRAL, solution buvable en flacon
0;EFFERALGANMED 150 mg, poudre effervescente pour solution buvable en sachet
1;ENTÉCAVIR|1 mg;ENTECAVIR CRISTERS 1 mg, comprimé pelliculé
0;PROGESTAN 200 mg, capsule molle ou capsule molle vaginale
0;LOSARTAN/HYDROCHLOROTHIAZIDE PHR LAB 50 mg/12,5 mg, comprimé pelliculé
1;SILDÉNAFIL|100 mg;SILDENAFIL ACCORD 100 mg, comprimé pelliculé
1;PRAMIPEXOLE BASE|0,7 mg;OPRYMEA 0,7 mg, comprimé
0;PREDNISONE ZENTIVA 20 mg, comprimé sécable
1;GLUCOSE ANHYDRE|30,3 g;PHYSIONEAL 40 GLUCOSE 2,27 % CLEARFLEX, solution pour dialyse péritonéale
1;QUINAGOLIDE|0,0250 mg;NORPROLAC 25 et 50 microgrammes, comprimé
0;NATRUM PHOSPHORICUM BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
0;CALCAREA FLUORICA WELEDA, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
0;POLERY ADULTES, sirop
0;MATRIFEN 12 microgrammes/heure, dispositif transdermique
0;MUPIROCINE EG 2%, pommade
0;VALSARTAN AHCL 160 mg, comprimé pelliculé sécable
0;OLANZAPINE RATIOPHARM 7,5 mg, comprimé
0;OLANZAPINE ACTAVIS 5 mg, comprimé orodispersible
0;CELIPROLOL EVOLUGEN 200 mg, comprimé pelliculé
0;VALSARTAN/HYDROCHLOROTHIAZIDE ARROW 160 mg/25 mg, comprimé pelliculé
0;METHOTREXATE BIODIM 5mg/2mL, solution injectable
0;RUTA GRAVEOLENS BOIRON, degré de dilution compris entre 4CH à 30CH et 8DH à 60DH
1;ATORVASTATINE|40 mg;ATORVASTATINE ZENTIVA 40 mg, comprimé pelliculé
1;LACTULOSE|10 g;LACTULOSE MYLAN 10 g/15 ml, solution buvable en sachet
0;PRUNUS SPINOSA LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
0;OMEPRAZOLE EVOLUGEN PHARMA 10 mg, gélule gastro-résistante
1;RANITIDINE BASE|75 mg;RANITIDINE MYLAN 75 mg, comprimé effervescent
1;CALCIPOTRIOL|0,0050 g;DAIVONEX 50 microgrammes/gramme, pommade
0;CARBOPLATINE ARROW 10 mg/ml, solution pour perfusion
0;VIRAMUNE 400 mg, comprimé à libération prolongée
0;BISOCE 7,5 mg, comprimé pelliculé sécable
0;DILTIAZEM SANDOZ LP 90 mg, gélule à libération prolongée
1;ACÉBUTOLOL BASE|400 mg;ACEBUTOLOL EG 400 mg, comprimé pelliculé
0;DEXPANTHENOL MYLAN 5 %, pommade
0;GENOTONORM MINIQUICK 1,8 mg, poudre et solvant pour solution injectable
0;LACTICUM ACIDUM LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
1;ACIDE ACÉTYLSALICYLIQUE|500 mg;ASPEGIC 500 mg, poudre pour solution buvable en sachet-dose
0;CAUSTICUM LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
0;BISOPROLOL/HYDROCHLOROTHIAZIDE ARROW 10 mg/6,25 mg, comprimé pelliculé
0;OLANZAPINE ACTAVIS 10 mg, comprimé orodispersible
0;COLOCYNTHIS WELEDA, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
1;MILNACIPRAN|21,77 mg;MILNACIPRAN BIOGARAN 25 mg, gélule
0;CARDENSIEL 5 mg, comprimé pelliculé sécable
2;CALCIUM ÉLÉMENT|1200 mg;CHOLÉCALCIFÉROL|0,020 mg;OSTRAM VITAMINE D3 1200 mg/800 U.I., poudre pour suspension buvable en sachet-dose
0;SUPPOSITOIRES A LA GLYCERINE COOPER ADULTES, suppositoire en récipient multidose
0;LAMOTRIGINE SANDOZ 100 mg, comprimé dispersible
1;PANTOPRAZOLE|20 mg;PANTOPRAZOLE ARROW LAB 20 mg, comprimé gastro-résistant
0;OLANZAPINE ISOMED 7,5 mg, comprimé
0;SPIRAEA ULMARIA BOIRON, degré de dilution compris entre 2CH à 30CH et 4DH à 60DH
0;PARACETAMOL ALMUS 500 mg, comprimé
0;MOXONIDINE BIOGARAN 0,2 mg, comprimé pelliculé
1;METFORMINE BASE|780 mg;METFORMINE BGR 1000 mg, comprimé pelliculé
1;GLUCOSE ANHYDRE|5 g;GLUCOSE 5 % FRESENIUS KABI FRANCE, solution pour perfusion
0;PARACETAMOL TEVA 300 mg, poudre pour solution buvable en sachet-dose
0;OLANZAPINE MYLAN GENERIQUES 15 mg, comprimé orodispersible
0;SPIRONOLACTONE SANDOZ 25 mg, comprimé pelliculé sécable
1;CÉFUROXIME|125 mg;CEFUROXIME ZENTIVA 125 mg, comprimé enrobé
0;ARIPIPRAZOLE TEVA 15 mg, comprimé orodispersible
0;DIAMOX 500 mg, poudre et solvant pour préparation injectable
0;ARSENICUM IODATUM LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
0;BECLOJET 250 microgrammes/dose, solution pour inhalation en flacon pressurisé
0;ZOFENILDUO 30 mg/12,5 mg, comprimé pelliculé
1;NICOTINE|4 mg;NIQUITIN MENTHE FRAICHE 4 mg, comprimé à sucer édulcoré à l'aspartam
0;SINTROM 4 mg, comprimé quadrisécable
0;NEUTROSES, comprimé à croquer
1;CÉFUROXIME|250 mg;CEFUROXIME RANBAXY 250 mg, comprimé
1;LISINOPRIL ANHYDRE|20 mg;LISINOPRIL/HYDROCHLOROTHIAZIDE ARROW LAB 20 mg/12,5 mg, comprimé sécable
0;DONEPEZIL EVOLUGEN 5 mg, comprimé pelliculé
0;HUMEXLIB ETAT GRIPPAL PARACETAMOL/VITAMINE C/PHENIRAMINE 500 mg/200 mg/25 mg SANS SUCRE, poudre pour solution buvable en sachet édulcorée à l'aspartam
1;IVABRADINE|5 mg;IVABRADINE KRKA 5 mg, comprimé pelliculé sécable
0;OXOGLURATE D'ORNITHINE CHIESI 5 g, poudre pour solution buvable et gastro-entérale en sachet-dose
1;GLATIRAMÈRE|36 mg;GLATIRAMER MYLAN 40 mg/ml, solution injectable en seringue préremplie
1;ATORVASTATINE|80 mg;ATORVASTATINE MYLAN 80 mg, comprimé pelliculé
1;CIBENZOLINE|130 mg;CIPRALAN 130 mg, comprimé sécable
0;RABEPRAZOLE SANDOZ 20 mg, comprimé gastro-résistant
0;HUMEX TOUX SECHE OXOMEMAZINE 0,33 mg/ml, sirop
1;CEFTRIAXONE BASE|1 g;CEFTRIAXONE GERDA 1 g/10 ml, poudre et solvant pour solution injectable (IV)
0;KETOCONAZOLE ZYDUS 2 %, gel en sachet-dose
0;ACICLOVIR CRISTERS CONSEIL 5 %, crème
0;CYTARABINE EG 20 mg/ml, solution injectable
1;FENTANYL|1000 microgrammes;INSTANYL 100 microgrammes/dose, solution pour pulvérisation nasale
0;ASCORBATE DE CALCIUM RICHARD ADULTES, granulés
0;ESMOCARD 100 mg/10 ml, solution injectable
0;CYNOMEL 0,025 mg, comprimé sécable
1;AMLODIPINE|5 mg;AMLODIPINE/VALSARTAN TEVA 5 mg/80 mg, comprimé pelliculé
0;MYCOPHENOLATE MOFETIL ACTAVIS 500 mg, comprimé pelliculé
0;MICROPAKINE L.P. 750 mg, granulés à libération prolongée en sachet-dose
0;PHEBURANE 483 mg/g, granules
5;GLUCOSE ANHYDRE|250 g;LYSINE|6,8 g;CHLORURE DE CALCIUM ANHYDRE|0,56 g;ACÉTATE DE SODIUM ANHYDRE|3,7 g;SULFATE DE MAGNÉSIUM ANHYDRE|1,2 g;KABIVEN, émulsion pour perfusion
0;CAPECITABINE MYLAN 150 mg, comprimé pelliculé
1;DOXYCYCLINE BASE|50 mg;DOXYPALU 50 mg, comprimé
1;ATORVASTATINE|20 mg;ATORVASTATINE KRKA 20 mg, comprimé pelliculé
0;OLANZAPINE ZENTIVA LAB 7,5 mg, comprimé enrobé
0;VALPROATE DE SODIUM BIOGARAN L.P. 500 mg, comprimé pelliculé sécable à libération prolongée
0;CHLORURE DE POTASSIUM LAVOISIER 20 % (0,20 g/ml) , solution à diluer pour perfusion
0;GUTRON 2,5 mg, comprimé
1;BÉTAXOLOL BASE|0,25 g;BETOPTIC 0,25 POUR CENT, suspension ophtalmique
1;RANITIDINE BASE|150 mg;RANITIDINE SANDOZ 150 mg, comprimé effervescent
0;KALIUM PHOSPHORICUM WELEDA, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
0;MYDRANE 0,2 mg/ml + 3,1 mg/ml + 10 mg/ml, solution injectable
0;HOMEOQUINTYL, granules
0;OFLOXACINE EG 200 mg, comprimé pelliculé sécable
0;HYZAAR 50 mg/12,5 mg, comprimé pelliculé
0;HUMALOG 100 UI/ml, solution injectable en cartouche
0;BENAZEPRIL TEVA SANTE 10 mg, comprimé pelliculé sécable
0;TELMISARTAN/HYDROCHLOROTHIAZIDE MYLAN PHARMA 40 mg/12,5 mg, comprimé
0;LEVETIRACETAM RANBAXY 1000 mg, comprimé pelliculé sécable
0;VALSARTAN TEVA 160 mg, comprimé pelliculé
0;TELMISARTAN/HYDROCHLOROTHIAZIDE BIOGARAN 40 mg/12,5 mg, comprimé
1;ROPINIROLE|2 mg;ROPINIROLE ACCORD 2 mg, comprimé pelliculé
0;KENZEN 16 mg, comprimé sécable
0;REBIF 22 microgrammes, solution injectable en stylo prérempli
0;TRIMEBUTINE SANDOZ 100 mg, comprimé
1;ÉSOMÉPRAZOLE|40 mg;ESOMEPRAZOLE RATIOPHARM 40 mg, gélule gastro-résistante
0;CETIRIZINE RPG 10 mg, comprimé pelliculé sécable
0;RAMIPRIL RANBAXY 1,25 mg, comprimé
1;DÉGARÉLIX|80 mg;FIRMAGON 80 mg, poudre et solvant pour solution injectable
0;BICARBONATE DE SODIUM 1,4 POUR CENT (0,28 mg/20 ml) RENAUDIN, solution injectable en ampoule
0;AURUM MURIATICUM NATRONATUM WELEDA, degré de dilution compris entre 4CH et 30CH ou entre 8DH et 60DH
0;SOTALOL TEVA 80 mg, comprimé sécable
0;FLUCONAZOLE BIOGARAN 100 mg, gélule
0;APRANAX 250 mg, granulés pour suspension buvable en sachet
0;ACIDE URSODESOXYCHOLIQUE MYLAN 250 mg, comprimé pelliculé
0;LANSOPRAZOLE ALMUS PHARMA 30 mg, gélule gastro-résistante
1;ACIDE FOLINIQUE|200 mg;FOLINATE DE CALCIUM AGUETTANT 200 mg, poudre pour solution injectable
0;AVENA SATIVA BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
0;VORICONAZOLE ACCORD 50 mg, comprimé pelliculé
1;CODÉINE|18,40 mg;LINDILANE 400 mg/25 mg, comprimé
0;SYMPHYTUM OFFICINALIS LEHNING, degré de dilution compris entre 4CH à 30CH et 8DH à 60DH
2;MAGNÉSIUM|0,025 g;ASCORBIQUE (ACIDE)|0,200 g;ACTI 5, solution buvable en ampoule
0;PREGABALINE TEVA SANTE 300 mg, gélule
0;MIRCERA 200 microgrammes/0,3 ml, solution injectable en seringue préremplie
0;VALSARTAN TEVA 40 mg, comprimé pelliculé sécable
0;SYMBICORT TURBUHALER 200/6 microgrammes par dose, poudre pour inhalation
1;RANÉLATE DE STRONTIUM ANHYDRE|2 g;PROTELOS 2 g, granulés pour suspension buvable
1;KRYPTON [81M KR]|70 - 740 MBq;KRYPTOSCAN, générateur de rubidium [81 Rb]/ krypton [81m Kr] pour l'élution par l'air
0;GENTIANA LUTEA BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
0;RISPERIDONE TEVA 0,5 mg, comprimé orodispersible
1;LISINOPRIL ANHYDRE|5 mg;LISINOPRIL MYLAN PHARMA 5 mg, comprimé sécable
0;DICLOFENAC TEVA CONSEIL 1 %, emplâtre médicamenteux
0;FLUTAMIDE MYLAN 250 mg, comprimé
0;LAMIVUDINE/ZIDOVUDINE TEVA 150 mg/300 mg, comprimé pelliculé sécable
0;NISIS 40 mg, comprimé pelliculé sécable
0;DIAFUSOR 15 mg/24 heures, dispositif transdermique
0;CELECOXIB PFIZER 100 mg, gélule
0;CAPTOPRIL CRISTERS 50 mg, comprimé sécable
0;VIABORPAX, comprimé orodispersible
1;TRÉPROSTINIL|1 mg;REMODULIN 1 mg/ml, solution pour perfusion
0;ENZYMICINE, bâton pour usage dentaire
0;MYCOPHENOLATE MOFETIL MYLAN 500 mg, comprimé pelliculé
0;EUPHON SANS SUCRE, pastille édulcorée à la saccharine
1;BOSENTAN|32 mg;TRACLEER 32 mg, comprimé dispersible
0;LOSARTAN HYDROCHLOROTHIAZIDE RANBAXY 50 mg/12,5 mg, comprimé pelliculé
0;EUPRESSYL 60 mg, gélule
0;PIROXICAM MYLAN 20 mg, comprimé dispersible sécable
1;PANTOPRAZOLE|40 mg;PANTOPRAZOLE RANBAXY 40 mg, comprimé gastro-résistant
0;KETREL 0,050 POUR CENT, crème
1;ACIDE GADOTÉRIQUE|279,3 mg;CLARISCAN 0,5 mmol/mL, solution injectable
0;MYDRIATICUM 2 mg/0,4 ml, collyre en récipient unidose
1;FENTANYL|0,100 mg;FENTANYL MYLAN 100 microgrammes/2 ml, solution injectable en ampoule
0;CLOMIPRAMINE SANDOZ 25 mg, comprimé pelliculé
0;DESLORATADINE ARROW 5 mg, comprimé pelliculé
1;CABOZANTINIB|20 mg;CABOMETYX 20 mg, comprimé pelliculé
1;PIPÉRACILLINE|2 g;PIPERACILLINE PANPHARMA 2 g, poudre pour solution injectable (I.M., I.V.)
1;OCTRÉOTIDE|10 mg;SANDOSTATINE L.P. 10 mg, poudre et solvant pour suspension injectable
1;TERLIPRESSINE|0,17 mg;ACETATE DE TERLIPRESSINE EVER PHARMA 0,2 mg/ml, solution injectable
0;ADVATE 250 UI, poudre et solvant pour solution injectable
0;CELECOXIB BIOGARAN 200 mg, gélule
1;DICLOFÉNAC SODIQUE|1 g;DICLOFENAC TEVA 1 %, gel en flacon pressurisé
0;PREGABALINE HCS 75 mg, gélule
0;RESITUNE 75 mg, comprimé gastro-résistant
0;FLECAÏNE L.P. 150 mg, gélule à libération prolongée
0;GLOSSITHIASE, comprimé sublingual
0;IRBESARTAN/HYDROCHLOROTHIAZIDE EVOLUGEN 300 mg/12,5 mg, comprimé pelliculé
0;DIACEREINE EVOLUGEN 50 mg, gélule
0;MINALFENE 300 mg, comprimé pelliculé
0;PRAVASTATINE TEVA 20 mg, comprimé
0;GYNO DAKTARIN 400 mg, capsule molle vaginale
1;BUPRÉNORPHINE|8 mg;BUPRENORPHINE ARROW 8 mg, comprimé sublingual
0;PRIMALAN 5 mg, comprimé sécable
0;ORENCIA 250 mg, poudre pour solution à diluer pour perfusion
0;CYCLAMEN EUROPAEUM BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
1;ACIDE FOLINIQUE|5 mg;FOLINORAL 5 mg, gélule
0;ROSMARINUS OFFICINALIS WELEDA, degré de dilution compris entre 4CH et 30CH ou entre 8DH et 60DH
0;CREON 5000 U, granulés gastro-résistants
0;ALGINATE DE SODIUM/BICARBONATE DE SODIUM MYLAN 500 mg/267 mg, suspension buvable en sachet
0;EZETIMIBE/SIMVASTATINE SANDOZ 10 mg/40 mg, comprimé
1;FENTANYL|1 mg;PECFENT 100 microgrammes/pulvérisation, solution pour pulvérisation nasale
0;DECONTRACTYL 500 mg, comprimé enrobé
1;PHOSPHORE|0,0305 mg;PHOSPHORE OLIGOSOL, solution buvable en ampoule
0;PRAVADUAL, comprimé
0;CELECOXIB HCS 200 mg, gélule
0;KALIUM IODATUM LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
0;FLECAINIDE ZENTIVA LP 100 mg, gélule à libération prolongée
0;OROPERIDYS 10 mg, comprimé orodispersible
0;CHLORHEXIDINE/CHLOROBUTANOL SANDOZ 0,5 ml/0,5 g pour 100 ml, solution pour bain de bouche en flacon
0;PACLITAXEL MYLAN PHARMA 6 mg/ml, solution à diluer pour perfusion
1;CARBIDOPA|37,50 mg;LEVODOPA/CARBIDOPA/ENTACAPONE EG 150 mg/37,5 mg/200 mg, comprimé pelliculé
1;ABACAVIR BASE|300 mg;TRIZIVIR 300 mg / 150 mg / 300 mg, comprimé pelliculé
0;CIMETIDINE MYLAN 200 mg,comprimé effervescent
0;LOSARTAN/HYDROCHLOROTHIAZIDE CRISTERS 100 mg/25 mg, comprimé pelliculé sécable
0;TANGANIL 500 mg/5 ml, solution injectable I.V. en ampoule
0;BENEFIX 2000 UI, poudre et solvant pour solution injectable
1;CÉFUROXIME|500 mg;CEFUROXIME TEVA 500 mg, comprimé pelliculé
1;CÉFIXIME ANHYDRE|200 mg;CEFIXIME EVOLUGEN 200 mg, comprimé pelliculé
1;LÉVOTHYROXINE SODIQUE ANHYDRE|50 microgrammes;THYROFIX 50 microgrammes, comprimé
0;VALSARTAN ARROW LAB 40 mg, comprimé pelliculé sécable
0;OPTINESSE 60 microgrammes/15 microgrammes, comprimé pelliculé
1;ROPINIROLE|0,25 mg;ROPINIROLE MYLAN 0,25 mg, comprimé pelliculé
0;BISOPROLOL/HYDROCHLOROTHIAZIDE BIOGARAN 2,5 mg/6,25 mg, comprimé pelliculé
1;PIROXICAM|20 mg;CYCLADOL 20 mg, comprimé sécable
0;MIRTAZAPINE ARROW GENERIQUES 15 mg, comprimé pelliculé
0;VALSARTAN MYLAN 160 mg, comprimé pelliculé sécable
1;CHLORHYDRATE DE BUPIVACAÏNE ANHYDRE|5,00 mg;BUPIVACAINE POUR RACHIANESTHESIE AGUETTANT 5 mg/ ml, solution injectable (voie intrarachidienne)
0;OMEPRAZOLE PHR LAB 10 mg, gélule gastro-résistante
0;DIACEREINE SANDOZ 50 mg, gélule
0;DUOVA 1 mg/5 mg, comprimé
0;CICATRYL, pommade en sachet-dose
0;HELLEBORUS NIGER LEHNING, degré de dilution compris entre 3CH et 30CH ou entre 6DH et 60DH
0;VFEND 40 mg/ml, poudre pour suspension buvable
1;GLUCOSE ANHYDRE|5 g;GLUCOSE 5 % BIOLUZ, solution pour perfusion
0;ALFUZOSINE TEVA SANTE L.P. 10 mg, comprimé à libération prolongée
1;ONDANSÉTRON|4 mg;ZOPHREN 4 mg/5 ml, sirop
0;INSPRA 50 mg, comprimé pelliculé
0;CODOTUSSYL EXPECTORANT 200 mg, granulé pour solution buvable en sachet
0;ACIDE FUSIDIQUE BGR 2 %, crème
0;VOSEVI 400 mg/100 mg/100 mg, comprimé pelliculé
0;SPIFEN 400 mg, comprimé pelliculé
0;DOLICHOS PRURIENS LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
0;GAMMATETANOS 250 UI/2 ml, solution injectable (IM)
0;ZEEL, crème
0;PRAVASTATINE CRISTERS 40 mg, comprimé
0;BIPERIDYS 20 mg, comprimé pelliculé sécable
0;ESBRIET 801 mg, comprimé pelliculé
0;DETICENE 100 mg, poudre et solvant pour solution pour perfusion
0;ALLOPURINOL ISOMED 300 mg, comprimé
0;MOLSIDOMINE ZENTIVA 2 mg, comprimé sécable
0;VADILEX 20 mg, comprimé pelliculé
0;CAPTOPRIL/HYDROCHLOROTHIAZIDE EG 50 mg/25 mg, comprimé sécable
1;ESCITALOPRAM|20 mg;ESCITALOPRAM CRISTERS 20 mg, comprimé pelliculé sécable
0;CETAVLON, crème
1;ENTÉCAVIR|0,5 mg;BARACLUDE 0,5 mg, comprimé pelliculé
1;CLINDAMYCINE BASE|600 mg;DALACINE 600 mg, solution injectable
0;BADIAGA COMPLEXE N°47, comprimé sublingual
1;AMLODIPINE|10 mg;EXFORGE HCT 10 mg/160 mg/12,5 mg, comprimé pelliculé
0;TOPIRAMATE ARROW 200 mg, comprimé pelliculé
0;PREGABALINE SANDOZ 300 mg, gélule
0;ALCHEMILLA VULGARIS BOIRON, degré de dilution compris entre 4CH et 30CH ou entre 8DH et 60DH
1;RANITIDINE BASE|150 mg;RANITIDINE MYLAN 150 mg, comprimé pelliculé
0;CELECOXIB ZENTIVA 100 mg, gélule
0;PARACETAMOL RATIOPHARM 500 mg, comprimé effervescent
0;SARGENOR SANS SUCRE 1 g, comprimé à croquer édulcoré à la saccharine sodique et au cyclamate de sodium
0;AMISULPRIDE SANDOZ 200 mg, comprimé sécable
0;ACAMPROSATE BIOGARAN 333 mg, comprimé pelliculé gastro-résistant
0;RIBAVIRINE MYLAN 200 mg, gélule
0;ARKOGELULES PRELE DES CHAMPS, gélule
2;HORMONE LUTÉINISANTE HUMAINE |600 UI;HORMONE FOLLICULO STIMULANTE |600 UI;MENOPUR 600 UI/ml, poudre et solvant pour solution injectable
0;LEVETIRACETAM ACTAVIS GROUP 100 mg/ml, solution buvable
1;MÉMANTINE|16,62 mg;MEMANTINE HCS 20 mg, comprimé pelliculé
0;LEVETIRACETAM SUN 100 mg/ml, solution à diluer pour perfusion
0;SUPPOSITOIRES A LA GLYCERINE MONOT NOURRISSONS
1;ROPIVACAÏNE BASE|8,83 mg;ROPIVACAINE MYLAN 10 mg/ml, solution injectable en ampoule
0;TEMOZOLOMIDE SUN 140 mg, gélule
0;ICAZ LP 2,5 mg, gélule à libération prolongée
0;TACROLIMUS EG 5 mg, gélule
0;SUPPOSITOIRE A LA GLYCERINE CENTRAPHARM ENFANTS, suppositoire
1;ATORVASTATINE|20 mg;ATORVASTATINE PHR LAB 20 mg, comprimé pelliculé
0;EUPHONYLL EXPECTORANT ADULTES, sirop
0;ALPRAZOLAM EG 0,50 mg, comprimé sécable
1;KÉTAMINE BASE|250,00 mg;KETAMINE PANPHARMA 250 mg/5 ml, solution injectable (I.V.-I.M.)
1;IBANDRONIQUE (ACIDE)|150 mg;ACIDE IBANDRONIQUE TEVA 150 mg, comprimé pelliculé
1;NIRAPARIB|100 mg;ZEJULA 100 mg, gélule
0;RISPERIDONE MYLAN 2 mg, comprimé pelliculé sécable
0;INCIVO 375 mg, comprimé pelliculé
0;CHAMOMILLA VULGARIS LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
0;OXEOL 20 mg, comprimé sécable
0;LOSARTAN/HYDROCHLOROTHIAZIDE BOUCHARA-RECORDATI 50 mg/12,5 mg, comprimé pelliculé
1;AZITHROMYCINE|250 mg;AZITHROMYCINE ARROW 250 mg, comprimé pelliculé
0;ARIPIPRAZOLE EG 15 mg, comprimé
