gélule;1;HAMAMÉLIS DE VIRGINIE;ARKOGELULES HAMAMELIS, gélule
gélule;1;SILODOSINE;SILODYX 4 mg, gélule
comprimé pelliculé;2;MALÉATE D'ÉNALAPRIL;CHLORHYDRATE DE LERCANIDIPINE;ZANEXTRA 20 mg/10 mg, comprimé pelliculé
comprimé pelliculé;1;TADALAFIL;TADALAFIL MYLAN 5 mg, comprimé pelliculé
solution pour pulvérisation;2;SODIUM (MONOSULFURE DE) NONAHYDRATÉ;LEVURE;ACTISOUFRE, solution pour pulvérisation nasale/buccale en flacon pressurisé
solution pour bain de bouche;1;HEXÉTIDINE;HEXTRIL MENTHE 0,1 POUR CENT, solution pour bain de bouche
poudre pour inhalation;2;FUMARATE DE FORMOTÉROL DIHYDRATÉ;BUDÉSONIDE;SYMBICORT TURBUHALER 200/6 microgrammes par dose, poudre pour inhalation
solution injectable;1;CITRATE DE SUFENTANIL;SUFENTANIL EUROCEPT 5 microgrammes/ml, solution injectable (IV ou péridurale)
solution injectable;1;CHLORHYDRATE D'ISOPRÉNALINE;ISUPREL 0,20 mg/1 ml, solution injectable en ampoule
comprimé pelliculé;1;IRBÉSARTAN;IRBESARTAN CRISTERS 150 mg, comprimé pelliculé
comprimé pelliculé;1;VALSARTAN;VALSARTAN PHR LAB 160 mg, comprimé pelliculé
crème épaisse pour application;1;HYDROCORTISONE (BUTYRATE D');LOCOID, crème épaisse pour application locale
poudre pour suspension buvable;1;FLUCONAZOLE;FLUCONAZOLE ARROW 10 mg/ml, poudre pour suspension buvable
sirop;1;BROMHYDRATE DE DEXTROMÉTHORPHANE;HUMEX ENFANTS TOUX SECHE DEXTROMETHORPHANE, sirop
solution injectable;1;CHLORHYDRATE DE TRAMADOL;TRAMADOL LAVOISIER 50 mg/ml, solution injectable
solution pour application;2;ACIDE SALICYLIQUE;ACIDE LACTIQUE;DUOFILM, solution pour application locale
gélule à libération prolongée;1;BROMHYDRATE DE GALANTAMINE;GALANTAMINE ARROW LP 16 mg, gélule à libération prolongée
comprimé pelliculé sécable;1;ATÉNOLOL;ATENOLOL ZYDUS 100 mg, comprimé pelliculé sécable
comprimé pelliculé;1;MÉSILATE D'IMATINIB;IMATINIB HCS 100 mg, comprimé pelliculé
gélule gastro-résistant(e);1;OMÉPRAZOLE;OMEPRAZOLE ISOMED 10 mg, gélule gastro-résistante
solution à diluer pour perfusion;1;ARGATROBAN MONOHYDRATÉ;ARGANOVA 100 mg/ml, solution à diluer pour perfusion
gélule à libération prolongée;1;CHLORHYDRATE DE TAMSULOSINE;TAMSULOSINE RATIOPHARM LP 0,4 mg, gélule à libération prolongée
solution pour perfusion;1;PARACÉTAMOL;PARACETAMOL MACOPHARMA 10 mg/ml, solution pour perfusion
gélule;1;MALÉATE DE BROMPHÉNIRAMINE;DIMEGAN 12 mg, gélule
poudre et  solvant pour solution injectable;1;TÉDUGLUTIDE ;REVESTIVE 5 mg, poudre et solvant pour solution injectable
comprimé effervescent(e) sécable;1;PARACÉTAMOL;PARACETAMOL TEVA 1 g, comprimé effervescent sécable
sirop;1;BROMHYDRATE DE DEXTROMÉTHORPHANE;ERGIX ENFANTS TOUX SECHE, sirop
comprimé pelliculé;1;CHLORHYDRATE DE CIPROFLOXACINE;CIFLOX 750 mg, comprimé pelliculé
comprimé gastro-résistant(e);1;OMÉPRAZOLE MAGNÉSIUM;MOPRALPRO 20 mg, comprimé gastro-résistant
comprimé pelliculé sécable;1;DICHLORHYDRATE DE CÉTIRIZINE;CETIRIZINE RATIOPHARM 10 mg, comprimé pelliculé sécable
comprimé pelliculé;1;BROMHYDRATE DE GALANTAMINE;REMINYL 8 mg, comprimé pelliculé
 comprimé et solution(s) et granules et poudre et pommade;1;NUX VOMICA POUR PRÉPARATIONS HOMÉOPATHIQUES;NUX VOMICA BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
comprimé pelliculé;2;BÉSILATE D'AMLODIPINE;VALSARTAN;EXFORGE 5 mg/160 mg, comprimé pelliculé
comprimé pelliculé sécable;1;VALSARTAN;VALSARTAN EG 80 mg, comprimé pelliculé sécable
comprimé pelliculé;1;CITRATE DE SILDÉNAFIL;SILDENAFIL MYLAN 100 mg, comprimé pelliculé
solution à diluer pour perfusion;1;CHLORHYDRATE DE GEMCITABINE;GEMCITABINE ACCORD 100 mg/ml, solution à diluer pour perfusion
gélule;1;MYCOPHÉNOLATE MOFÉTIL;MYCOPHENOLATE MOFETIL ACCORD HEALTHCARE 250 mg, gélule
comprimé;1;ARIPIPRAZOLE;ARIPIPRAZOLE BGR 5 mg, comprimé
poudre pour application;1;NITRATE D'ÉCONAZOLE;ECONAZOLE TEVA 1 POUR CENT, poudre pour application cutanée
suspension pour pulvérisation;1;BUDÉSONIDE;BUDESONIDE SANDOZ 64 microgrammes/dose, suspension pour pulvérisation nasale
poudre pour solution injectable;1;TICARCILLINE SODIQUE;TICARPEN 5 g, poudre pour solution injectable (I.V.)
gélule à libération prolongée;1;CHLORHYDRATE DE TRAMADOL;TRAMADOL ARROW L.P. 100 mg, gélule à libération prolongée
gélule;1;PRÉGABALINE;PREGABALINE ZENTIVA K.S. 25 mg, gélule
comprimé pelliculé;2;HYDROCHLOROTHIAZIDE;LOSARTAN POTASSIQUE;LOSARTAN/HYDROCHLOROTHIAZIDE ZYDUS FRANCE 50 mg/12,5 mg, comprimé pelliculé
solution injectable pour usage dentaire;2;ARTICAÏNE (CHLORHYDRATE D');ADRÉNALINE (CHLORHYDRATE D');ALPHACAINE SP, solution injectable à usage dentaire
solution pour perfusion;16;LEUCINE;ISOLEUCINE;SÉRINE;TRYPTOPHANE L;PROLINE;MÉTHIONINE;VALINE;TAURINE;THRÉONINE;ACÉTATE DE LYSINE;ARGININE;ALANINE;TYROSINE;HISTIDINE;PHÉNYLALANINE;GLYCINE;AMINOVEN 10 POUR CENT, solution pour perfusion
comprimé pelliculé sécable;1;LÉVOFLOXACINE HÉMIHYDRATÉE;LEVOFLOXACINE ZENTIVA 500 mg, comprimé pelliculé sécable
comprimé sécable;1;ACIDE TIAPROFÉNIQUE;SURGAM 100 mg, comprimé sécable
comprimé pelliculé sécable;1;CHLORHYDRATE DE LERCANIDIPINE;LERCANIDIPINE SANDOZ 20 mg, comprimé pelliculé sécable
solution à diluer pour perfusion;1;AGALSIDASE ALFA ;REPLAGAL 1 mg/ml, solution à diluer pour perfusion
comprimé à sucer;2;CARBONATE DE CALCIUM;CHOLÉCALCIFÉROL (CONCENTRAT DE), FORME PULVÉRULENTE;CALCIPRAT VITAMINE D3 1000 mg/800 UI, comprimé à sucer
poudre à diluer à diluer et  solution pour solution pour solution;1;BLINATUMOMAB ;BLINCYTO 38,5 microgrammes, poudre pour solution à diluer et solution pour solution pour perfusion
gélule;1;NICERGOLINE;NICERGOLINE BIOGARAN 10 mg, gélule
comprimé pelliculé;1;IRBÉSARTAN;IRBESARTAN RANBAXY 300 mg, comprimé pelliculé
suspension injectable;1;CORTIVAZOL;ALTIM 3,75 mg/1,5 ml, suspension injectable en seringue pré-remplie
gélule;1;DIACÉRÉINE;DIACEREINE ZENTIVA 50 mg, gélule
comprimé sécable;1;MOLSIDOMINE;MOLSIDOMINE ARROW 4 mg, comprimé sécable
comprimé;1;CITRATE DE SILDÉNAFIL;SILDENAFIL SANDOZ 25 mg, comprimé
comprimé pelliculé;1;GABAPENTINE;GABAPENTINE MYLAN 800 mg, comprimé pelliculé
comprimé pelliculé;1;VALSARTAN;VALSARTAN ZYDUS 160 mg, comprimé pelliculé
comprimé à libération prolongée;1;FUMARATE DE QUÉTIAPINE;QUETIAPINE EG LP 50 mg, comprimé à libération prolongée
comprimé à libération prolongée;2;LÉVODOPA;CARBIDOPA MONOHYDRATÉE;LEVODOPA/CARBIDOPA ACCORD LP 200 mg/50 mg, comprimé à libération prolongée
comprimé et  comprimé;2;ACÉTATE DE NOMÉGESTROL;BÊTA-ESTRADIOL HÉMIHYDRATÉ;NAEMIS, comprimé
comprimé;1;DICHLORHYDRATE DE BÉTAHISTINE;BETAHISTINE ZENTIVA 8 mg, comprimé
solution pour préparation injectable;1;EAU POUR PRÉPARATIONS INJECTABLES;EAU POUR PREPARATIONS INJECTABLES RENAUDIN, solution pour préparation injectable en ampoule
comprimé pelliculé;3;LÉVODOPA;CARBIDOPA MONOHYDRATÉE;ENTACAPONE;STALEVO 150 mg/37,5 mg/200 mg, comprimé pelliculé
poudre pour usage parentéral;1;CÉFÉPIME (DICHLORHYDRATE DE) MONOHYDRATÉ;AXEPIM 1 g, poudre pour usage parentéral
crème;1;IVERMECTINE;SOOLANTRA 10 mg/g, crème
poudre et  poudre;5;CHLORHYDRATE DE L-ARGININE;SORBITOL;SULFATE DE SODIUM ANHYDRE;ACIDE CITRIQUE ANHYDRE;SODIUM (PHOSPHATE MONOACIDE DE) ANHYDRE;HEPARGITOL, poudre orale en sachet bipoche
comprimé pelliculé;1;CHLORHYDRATE DE NALMÉFÈNE DIHYDRATÉ;SELINCRO 18 mg, comprimé pelliculé
poudre et  solvant pour solution injectable;1;LONOCTOCOG ALFA ;AFSTYLA 1500 UI, poudre et solvant pour solution injectable
comprimé pelliculé;1;CÉFUROXIME AXÉTIL;CEFUROXIME ACTAVIS 500 mg, comprimé pelliculé
gélule;1;NIZATIDINE;NIZAXID 150 mg, gélule
suppositoire;1;BISACODYL;DULCOLAX 10 mg, suppositoire
gélule;1;PASSIFLORE (EXTRAIT DE) (SEC);ELUSANES PASSIFLORE 200 mg, gélule
poudre pour suspension buvable;2;ATTAPULGITE DE MORMOIRON;GEL D'HYDROXYDE D'ALUMINIUM ET DE CARBONATE DE MAGNÉSIUM CODESSÉCHÉS;GASTROPULGITE, poudre pour suspension buvable
suspension buvable;1;FUSIDIQUE (ACIDE);FUCIDINE NOURRISSONS 100 mg/2 ml, suspension buvable en flacon
solution pour pulvérisation;1;TRINITRINE (SOLUTION DE);NATISPRAY 0,15 mg/dose, solution pour pulvérisation buccale
comprimé sécable;1;CHLORHYDRATE DE TERBINAFINE;TERBINAFINE CRISTERS 250 mg, comprimé sécable
comprimé pelliculé;2;HYDROCHLOROTHIAZIDE;FUMARATE DE BISOPROLOL;BISOPROLOL/HYDROCHLOROTHIAZIDE EG 10 mg/6,25 mg, comprimé pelliculé
comprimé gastro-résistant(e);1;ACÉTYLSALICYLIQUE (ACIDE);ASPIRINE pH 8 500 mg, comprimé gastro-résistant
solution buvable;1;CHLORHYDRATE DE FLUOXÉTINE;FLUOXETINE BIOGARAN 20 mg/5 ml SANS SUCRE, solution buvable édulcorée à la saccharine sodique et au cyclamate de sodium
solution injectable à libération prolongée;1;ACÉTATE DE LANRÉOTIDE;SOMATULINE L.P. 120 mg, solution injectable à libération prolongée en seringue préremplie
solution pour perfusion;1;CHLORURE DE SODIUM;CHLORURE DE SODIUM FRESENIUS 0,9 % , solution pour perfusion
gélule;1;PHOSPHATE D'OSÉLTAMIVIR;TAMIFLU 75 mg, gélule
sirop;1;CITRATE DE PENTOXYVÉRINE;CLARIX TOUX SECHE PENTOXYVERINE 0,15 % ENFANTS, sirop
 comprimé et solution(s) et granules et poudre et pommade;1;SANICULA EUROPAEA POUR PRÉPARATIONS HOMÉOPATHIQUES;SANICULA EUROPAEA BOIRON, degré de dilution compris entre 2CH à 30CH et 4DH à 60DH
suspension injectable;1;MÉDROXYPROGESTÉRONE (ACÉTATE DE);DEPO PRODASONE 500 mg, suspension injectable
comprimé pelliculé;2;ÉZÉTIMIBE;ATORVASTATINE CALCIQUE TRIHYDRATÉE;LIPTRUZET 10 mg/80 mg, comprimé pelliculé
comprimé pelliculé;1;SIMVASTATINE;SIMVASTATINE RPG 20 mg, comprimé pelliculé
comprimé à libération prolongée;1;FUMARATE DE QUÉTIAPINE;XEROQUEL LP 400 mg, comprimé à libération prolongée
poudre pour solution injectable pour perfusion;1;CHLORHYDRATE DE RÉMIFENTANIL;REMIFENTANIL ARROW 2 mg, poudre pour solution injectable/pour perfusion
poudre et  solvant pour solution injectable;1;CEFTRIAXONE SODIQUE;CEFTRIAXONE ARROW 500 mg/5 ml, poudre et solvant pour solution injectable (IV)
poudre et  solvant pour solution injectable;1;CEFTRIAXONE SODIQUE;TRIACEFAN 1 g/3,5 ml, poudre et solvant pour solution injectable (IM)
collyre à libération prolongée;1;CHLORHYDRATE DE CARTÉOLOL;CARTEOL L.P. 1 %, collyre à libération prolongée
pommade;2;CONCENTRAT DE VITAMINE A SYNTHÉTIQUE, FORME HUILEUSE;BAUME DU PÉROU;POMMADE LELONG, pommade
comprimé pelliculé;1;CHLORHYDRATE DE NARATRIPTAN;NARATRIPTAN RANBAXY 2,5 mg, comprimé pelliculé
comprimé sécable;1;RAMIPRIL;RAMIPRIL EVOLUGEN 10 mg, comprimé sécable
gélule;1;CHLORHYDRATE DE MILNACIPRAN;MILNACIPRAN BIOGARAN 25 mg, gélule
comprimé pelliculé;2;HYDROCHLOROTHIAZIDE;IRBÉSARTAN;IRBESARTAN/HYDROCHLOROTHIAZIDE EG 300 mg/25 mg, comprimé pelliculé
solution injectable;1;BROMURE DE ROCURONIUM;ESMERON 10 mg/ml, solution injectable
comprimé;1;TÉRAZOSINE (CHLORHYDRATE DE) DIHYDRATÉ;DYSALFA 5 mg, comprimé
comprimé pelliculé et  comprimé pelliculé;2;DÉSOGESTREL;ÉTHINYLESTRADIOL;DESOGESTREL/ETHINYLESTRADIOL BIOGARANCONTINU 150 microgrammes/30 microgrammes, comprimé pelliculé
comprimé;1;ARIPIPRAZOLE;ARIPIPRAZOLE CRISTERS 15 mg, comprimé
poudre pour solution injectable;1;TOXINE BOTULINIQUE TYPE A ;XEOMIN 100 unités, poudre pour solution injectable
gélule;1;CÉLÉCOXIB;CELECOXIB ZENTIVA 100 mg, gélule
 comprimé et solution(s) et granules et poudre et pommade;1;CEANOTHUS AMERICANUS SICCUM POUR PRÉPARATIONS HOMÉOPATHIQUES;CEANOTHUS AMERICANUS SICCUM LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
solution pour perfusion;1;TRÉPROSTINIL SODIQUE;REMODULIN 2,5 mg/ml, solution pour perfusion
comprimé sécable;1;GRISÉOFULVINE;GRISEFULINE 250 mg, comprimé sécable
comprimé pelliculé sécable;1;FUMARATE DE BISOPROLOL;BISOPROLOL KRKA 2,5 mg, comprimé pelliculé sécable
solution;1;AMYLÉINE (CHLORHYDRATE D');DOLODENT, solution gingivale
comprimé pelliculé;1;FUMARATE DE BISOPROLOL;BISOPROLOL RPG 10 mg, comprimé pelliculé
comprimé sécable;2;HYDROCHLOROTHIAZIDE;CAPTOPRIL;CAPTOPRIL HYDROCHLOROTHIAZIDE SANDOZ 50 mg/25 mg, comprimé sécable
comprimé pelliculé;1;BOSENTAN MONOHYDRATÉ;BOSENTAN EG 125 mg, comprimé pelliculé
comprimé;1;ÉZÉTIMIBE;EZETIMIBE RANBAXY 10 mg, comprimé
dispositif;1;TRINITRINE;DIAFUSOR 5 mg/24 heures, dispositif transdermique
suspension pour inhalation par nébuliseur;1;DIPROPIONATE DE BÉCLOMÉTASONE;BECLOMETASONE TEVA 800 microgrammes/ 2 ml, suspension pour inhalation par nébuliseur en récipient unidose
comprimé pelliculé;1;OXCARBAZÉPINE;TRILEPTAL 600 mg, comprimé pelliculé
gélule gastro-résistant(e);1;BITARTRATE DE MERCAPTAMINE;PROCYSBI 25 mg, gélule gastro-résistante
solution injectable;1;SULFATE DE MAGNÉSIUM HEPTAHYDRATÉ;SULFATE DE MAGNESIUM PROAMP 0,15 g/ml, solution injectable
comprimé pelliculé;1;BOSUTINIB MONOHYDRATÉ;BOSULIF 500 mg, comprimé pelliculé
comprimé pelliculé;1;BOSENTAN MONOHYDRATÉ;BOSENTAN SANDOZ 62,5 mg, comprimé pelliculé
poudre pour solution injectable;1;CÉFUROXIME SODIQUE;CEFUROXIME FLAVELAB 250 mg, poudre pour solution injectable (IM - IV)
solution pour inhalation par nébuliseur;1;IPRATROPIUM (BROMURE D') MONOHYDRATÉ;IPRATROPIUM ALMUS 0,5 mg/2 ml ADULTES, solution pour inhalation par nébuliseur en récipient unidose
solution injectable;1;SUCCINATE DE SUMATRIPTAN;IMIJECT 6 mg/0,5 ml, solution injectable pour voie sous-cutanée en seringue pré-remplie
comprimé pelliculé;1;CHLORHYDRATE DE MÉMANTINE;EBIXA 20 mg, comprimé pelliculé
 comprimé et solution(s) et granules et poudre et pommade;1;AURUM MURIATICUM NATRONATUM POUR PRÉPARATIONS HOMÉOPATHIQUES;AURUM MURIATICUM NATRONATUM BOIRON, degré de dilution compris entre 4CH et 30CH ou entre 8DH et 60DH
gélule;1;FÉNOFIBRATE;FENOFIBRATE MYLAN 300 mg, gélule
solution buvable;1;PARAFFINE LIQUIDE;HUILE DE PARAFFINE COOPER, solution buvable en flacon
comprimé quadrisécable;1;CAPTOPRIL;CAPTOPRIL TEVA 25 mg, comprimé quadrisécable
comprimé pelliculé sécable;1;OFLOXACINE;OFLOXACINE RANBAXY 200 mg, comprimé pelliculé sécable
comprimé sécable;1;FUMARATE DE BISOPROLOL;BISOPROLOL ACTAVIS 5 mg, comprimé sécable
 comprimé et solution(s) et granules et poudre et pommade;1;DULCAMARA POUR PRÉPARATIONS HOMÉOPATHIQUES;DULCAMARA BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
solution pour hémofiltration;2;CHLORURE DE SODIUM;CITRATE DE SODIUM;REGIOCIT, solution pour hémofiltration
comprimé;1;PARACÉTAMOL;PARACETAMOL RATIOPHARM 1000 mg, comprimé
comprimé orodispersible;1;ONDANSÉTRON;ONDANSETRON BIOGARAN 8 mg, comprimé orodispersible
comprimé pelliculé sécable;1;CHLORHYDRATE DE CLOMIPRAMINE;ANAFRANIL 75 mg, comprimé pelliculé sécable
comprimé sécable;2;HYDROCHLOROTHIAZIDE;CAPTOPRIL;CAPTOPRIL/HYDROCHLOROTHIAZIDE ZENTIVA 50 mg/25 mg, comprimé sécable
suspension buvable;2;ALGINATE DE SODIUM;BICARBONATE DE SODIUM;ALGINATE DE SODIUM/BICARBONATE DE SODIUM SANDOZ CONSEIL 500 mg/267 mg MENTHE SANS SUCRE, suspension buvable en sachet édulcorée à la saccharine sodique
solution pour perfusion;1;ACIDE ZOLÉDRONIQUE MONOHYDRATÉ;ACLASTA 5 mg, solution pour perfusion
comprimé pelliculé;3;SÉNÉ (FEUILLE DE) (EXTRAIT SEC DE);EXTRAIT SEC DE ROMARIN;BOLDINE;BOLDOFLORINE, comprimé pelliculé
poudre et  solvant pour solution à diluer pour perfusion;1;SOMATOSTATINE (ACÉTATE DE) HYDRATÉ;SOMATOSTATINE EUMEDICA 6 mg, poudre et solvant pour solution à diluer pour perfusion
solution buvable;1;OXOMÉMAZINE;OXOMEMAZINE BIOGARAN CONSEIL 0,33 mg/ml SANS SUCRE, solution buvable édulcorée à l'acésulfame potassique
comprimé pelliculé sécable;1;CHLORHYDRATE DE LERCANIDIPINE;LERCANIDIPINE MYLAN 10 mg, comprimé pelliculé sécable
granules et  solution en gouttes en gouttes;1;CHIMAPHILA UMBELLATA POUR PRÉPARATIONS HOMÉOPATHIQUES;CHIMAPHILA UMBELLATA WELEDA, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
comprimé pelliculé;1;CHLORHYDRATE DE NARATRIPTAN;NARATRIPTAN ARROW 2,5 mg, comprimé pelliculé
comprimé à libération prolongée;1;SULFATE DE TERBUTALINE;BRICANYL L.P. 5 mg, comprimé à libération prolongée
comprimé pelliculé et  comprimé pelliculé;2;GESTODÈNE;BÊTA-ESTRADIOL HÉMIHYDRATÉ;AVADENE 1 mg/0,025 mg, comprimé pelliculé
comprimé pelliculé sécable;1;CHLORHYDRATE DE LERCANIDIPINE;LERCANIDIPINE EVOLUGEN 20 mg, comprimé pelliculé sécable
 comprimé et solution(s) et granules et poudre et pommade;1;GUARANA POUR PRÉPARATIONS HOMÉOPATHIQUES;GUARANA BOIRON, degré de dilution compris entre 2CH à 30CH et 4DH à 60DH
gel pour application;1;PEROXYDE DE BENZOYLE;PANNOGEL 10, gel pour application cutanée
comprimé;1;FLUTAMIDE;FLUTAMIDE BIOGARAN 250 mg, comprimé
sirop;1;CARBOCISTÉINE;BRONCHOKOD ADULTES, sirop
comprimé pelliculé;1;OLMÉSARTAN MÉDOXOMIL;OLMETEC 10 mg, comprimé pelliculé
comprimé;2;CODÉINE (PHOSPHATE DE) HÉMIHYDRATÉ;PARACÉTAMOL;CODOLIPRANE 500 mg/30 mg, comprimé
solution injectable;1;ACÉTATE DE GLATIRAMÈRE;GLATIRAMER MYLAN 40 mg/ml, solution injectable en seringue préremplie
gélule;1;ÉFAVIRENZ;SUSTIVA 200 mg, gélule
poudre pour solution buvable;3;ACIDE ASCORBIQUE;PARACÉTAMOL;MALÉATE DE CHLORPHÉNAMINE;ACTIFED ETATS GRIPPAUX, poudre pour solution buvable en sachet-dose
suppositoire;1;GLYCÉROL;SUPPOSITOIRE A LA GLYCERINE CENTRAPHARM ENFANTS, suppositoire en vrac
poudre pour suspension buvable;1;HYDROXYDE DE MAGNÉSIUM;MAGNESIE SAN PELLEGRINO ANISEE 90 %, poudre pour suspension buvable
comprimé à libération prolongée;1;CHLORHYDRATE DE TRAMADOL;TRAMADOL RANBAXY L.P. 100 mg, comprimé à libération prolongée
gélule à libération prolongée;1;THÉOPHYLLINE;DILATRANE 100 mg, gélule à libération prolongée
solution injectable;1;ATROPINE (SULFATE D');ATROPINE SULFATE RENAUDIN 0,5 mg/ml, solution injectable en ampoule
poudre pour solution injectable;1;CEFTAZIDIME PENTAHYDRATÉE;CEFTAZIDIME MYLAN 2 g, poudre pour solution injectable
solution injectable;1;AMITRIPTYLINE (CHLORHYDRATE D');LAROXYL 50 mg/2 ml, solution injectable
comprimé pelliculé sécable;1;CHLORHYDRATE DE PAROXÉTINE ANHYDRE;PAROXETINE ARROW 20 mg, comprimé pelliculé sécable
comprimé pelliculé;1;TADALAFIL;TADALAFIL BIOGARAN 20 mg, comprimé pelliculé
poudre pour solution à diluer pour perfusion;1;ACÉTATE DE CASPOFUNGINE ;CASPOFUNGINE DR.REDDY'S 50 mg, poudre pour solution à diluer pour perfusion
poudre pour suspension buvable;1;AMOXICILLINE TRIHYDRATÉE;AMOXICILLINE REF 250 mg/5 ml, poudre pour suspension buvable en flacon
solution injectable;1;CHLORHYDRATE D'ÉPHÉDRINE;EPHEDRINE AGUETTANT 30 mg/10 ml, solution injectable
comprimé pelliculé;1;IRBÉSARTAN;IRBESARTAN ZENTIVA 300 mg, comprimé pelliculé
bâton pour application;1;CAMPHRE RACÉMIQUE;CAMPHRICE DU CANADA 4 POUR CENT, bâton pour application locale
solution injectable;1;IOBENGUANE (131I);IOBENGUANE [131 I] PRETHERAPEUTIQUE CIS BIO INTERNATIONAL 9,25 MBq/mL, solution injectable
solution injectable;1;GLUCOSE MONOHYDRATÉ;GLUCOSE 10 POUR CENT (1 g/10 ml) RENAUDIN, solution injectable en ampoule
granules et  poudre et  solution en gouttes en gouttes;1;FLUORICUM ACIDUM POUR PRÉPARATIONS HOMÉOPATHIQUES;FLUORICUM ACIDUM WELEDA, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
comprimé pelliculé sécable;1;SPIRONOLACTONE;SPIRONOLACTONE MYLAN 25 mg, comprimé pelliculé sécable
comprimé;2;HYDROCHLOROTHIAZIDE;TELMISARTAN;TELMISARTAN/HYDROCHLOROTHIAZIDE SANDOZ 80 mg/12,5 mg, comprimé
solution à diluer pour perfusion;1;OXALIPLATINE;ELOXATINE 5 mg/ml, solution à diluer pour perfusion
solution injectable;1;GLUCOSE MONOHYDRATÉ;GLUCOSE 30 % RENAUDIN, solution injectable
solution buvable;1;CARBOCISTÉINE;CARBOCISTEINE MYLAN 5% ADULTE SANS SUCRE, solution buvable édulcorée au maltitol liquide et au sorbitol
comprimé sécable;1;PRAVASTATINE SODIQUE;PRAVASTATINE ALS 40 mg, comprimé sécable
comprimé pelliculé;2;HYDROCHLOROTHIAZIDE;IRBÉSARTAN;IRBESARTAN HYDROCHLOROTHIAZIDE ZENTIVA 300 mg/12,5 mg, comprimé pelliculé
poudre pour solution injectable;1;MÉTHYLPREDNISOLONE (HÉMISUCCINATE DE);METHYLPREDNISOLONE MYLAN 40 mg, poudre pour solution injectable (IM-IV)
comprimé orodispersible;1;BENZOATE DE RIZATRIPTAN;RIZATRIPTAN MYLAN 10 mg, comprimé orodispersible
comprimé pelliculé à libération prolongée;1;CHLORHYDRATE DE TRAMADOL;TRAMADOL ZYDUS LP 100 mg, comprimé pelliculé à libération prolongée
suppositoire;1;ONDANSÉTRON;ZOPHREN 16 mg, suppositoire
poudre et  solvant pour solution injectable;1;ÉPOPROSTÉNOL SODIQUE;EPOPROSTENOL INTSEL CHIMOS 0,5 mg, poudre et solvant pour solution injectable
comprimé à libération prolongée;1;CHLORHYDRATE DE TRAMADOL;TRAMADOL EG L.P. 100 mg, comprimé à libération prolongée
comprimé pelliculé sécable;1;FLUVOXAMINE (MALÉATE DE);FLUVOXAMINE SANDOZ 50 mg, comprimé pelliculé sécable
gélule;1;CHLORHYDRATE DE MILNACIPRAN;IXEL 25 mg, gélule
solution injectable;2;CHLORHYDRATE DE LIDOCAÏNE;TARTRATE D'ADRÉNALINE;XYLOCAINE 10 mg/ml ADRENALINE 0,005 mg/ml, solution injectable
solution buvable;3;TROMETAMOL (CITRATE DE);CITRATE DIPOTASSIQUE ANHYDRE;CITRATE DISODIQUE;ALCAPHOR, solution buvable
comprimé pelliculé sécable;1;CHLORHYDRATE DE CÉLIPROLOL;CELIPROLOL MYLAN 200 mg, comprimé pelliculé sécable
comprimé pelliculé;1;DIOSMINE;TITANORAL 600 mg, comprimé pelliculé
suspension buvable;1;AMPHOTÉRICINE B;FUNGIZONE NOURRISSONS ET ENFANTS 10 POUR CENT, suspension buvable
crème;1;CICLOPIROX OLAMINE;CICLOPIROX OLAMINE BIOGARAN 1 %, crème
comprimé pelliculé sécable;1;DICHLORHYDRATE DE CÉTIRIZINE;CETIRIZINE EG 10 mg, comprimé pelliculé sécable
comprimé dispersible;1;LAMOTRIGINE;LAMOTRIGINE RATIOPHARM 100 mg, comprimé dispersible
poudre pour suspension buvable;1;SUCCINIMIDE;SUCCINIMIDE PHARBIOL 3 g, poudre pour suspension buvable en sachet-dose
comprimé sécable;1;RAMIPRIL;RAMIPRIL RPG 10 mg, comprimé sécable
comprimé pelliculé;1;LÉTROZOLE;LETROZOLE EVOLUGEN 2,5 mg, comprimé pelliculé
comprimé effervescent(e);3;CAFÉINE;ACIDE ASCORBIQUE;GLUCURONAMIDE;GURONSAN, comprimé effervescent
comprimé à sucer;1;NICOTINE (RÉSINATE DE);NIQUITIN MENTHE DOUCE 4 mg SANS SUCRE, comprimé à sucer édulcoré à l'aspartam
comprimé pelliculé sécable;1;CHLORHYDRATE DE CIPROFLOXACINE;CIPROFLOXACINE SANDOZ 500 mg, comprimé pelliculé sécable
comprimé pelliculé;1;ANASTROZOLE;ANASTROZOLE TEVA 1 mg, comprimé pelliculé
capsule molle;1;CICLOSPORINE;NEORAL 50 mg, capsule molle
solution injectable;1;CHLORHYDRATE DE LIDOCAÏNE;CHLORHYDRATE DE LIDOCAINE RENAUDIN 10 mg/ml, solution injectable
comprimé sécable;1;PARACÉTAMOL;DOLKO 1 g, comprimé sécable
comprimé effervescent(e) sécable;1;PARACÉTAMOL;PARACETAMOL TEVA SANTE 1000 mg, comprimé effervescent sécable
gélule;1;HYDROGÉNOTARTRATE DE RIVASTIGMINE;RIVASTIGMINE EG 3 mg, gélule
